lemma	variant	isabstract	lexicalunit.comment like '%<##s>%'
koziorożec alpejski	1	0	0
salicylan sodu	1	0	0
moczarka argentyńska	1	0	0
panda wielka	1	0	0
skunks zwyczajny	1	0	0
choroba zakaźna	1	0	0
objaw chorobowy	1	1	0
choroba psychiczna	1	0	0
krwawienie miesiączkowe	1	0	1
przewód pokarmowy	1	0	0
udar mózgu	1	0	0
proces fizjologiczny	1	0	0
latające skrzydło	1	0	0
brązowy medalista	1	0	0
kierownik artystyczny	1	0	0
prokurator generalny	1	0	0
prokurator generalny	2	0	0
radca prawny	1	0	0
redaktor naczelny	1	0	0
robotnik przymusowy	1	0	0
srebrny medalista	1	0	0
strzelec wyborowy	1	0	0
więzień polityczny	1	0	0
złoty medalista	1	0	0
materiał opatrunkowy	1	0	0
ubranie ochronne	1	0	0
opaska uciskowa	1	0	0
związek zawodowy	1	0	0
kawałek materiału	1	0	1
czystka etniczna	1	0	0
orientacja seksualna	1	0	0
pranie brudnych pieniędzy	1	0	0
szuwar mozgowy	1	0	0
blok energetyczny	1	0	0
instrument dęty	1	0	0
