DB ID	Is abstract?	Part of Speech	Lemma
10415	False	verb	wynurzyć się
10417	False	verb	wyobrażać sobie
10419	False	verb	wyobrazić sobie
10421	False	verb	wyodrębnić się
10435	False	verb	wypełniać się
10436	False	verb	wypełniać się
10441	False	verb	wypełnić się
10442	False	verb	wypełnić się
10446	False	verb	wypisać się
10447	False	verb	wypisywać się
10452	False	verb	wypowiadać się
10456	False	verb	wypowiedzieć się
10465	False	verb	wyprowadzać się
10466	False	verb	wyprowadzać w pole
10468	False	verb	wyprowadzić w pole
10469	False	verb	wyprowadzić z równowagi
10505	False	verb	wyrosnąć na ...
10511	False	adj	wyróżniający się
10514	False	verb	wyróżnić się
10528	False	verb	wyrządzić krzywdę
10531	False	subst	wyrzuty sumienia
10541	False	verb	wyśmiewać się
10553	False	verb	wystarać się
10572	False	verb	wystrzegać się
10577	False	verb	wysuwać wniosek
10584	False	verb	wyszkolić się
10593	False	verb	wytracać prędkość
10595	False	verb	wytracić prędkość
10611	False	verb	wytworzyć się
10622	False	verb	wywiadywać się
10623	False	verb	wywiązać się
10624	False	verb	wywiązywać się
10625	False	verb	wywierać wpływ
10626	False	verb	wywieść w pole
10628	False	verb	wywodzić się
10629	False	verb	wywodzić w pole
10633	False	verb	wywołać z pamięci
10636	False	verb	wywoływać z pamięci
10638	False	verb	wyzbyć się
10640	False	verb	wyzionąć ducha
10661	False	verb	wyżywić się
10668	False	verb	wyłonić się
10674	False	verb	wzbogacić się
10675	False	verb	wzbraniać się
10690	False	verb	wziąć nogi za pas
10691	False	verb	wziąć pod uwagę
10692	False	verb	wziąć poprawkę
10693	False	verb	wziąć się
10696	False	verb	wzmagać się
10724	False	verb	wzruszyć się
10734	False	subst	władza ludu
10754	False	verb	włożyć całą duszę
10759	False	verb	zaangażować się
10771	False	verb	zabawiać się
10784	False	verb	zabierać głos
10785	False	verb	zabierać się
10795	False	verb	zabrać głos
10796	False	verb	zabrać się
10811	False	verb	zachciewać się
10817	False	verb	zachodzić w głowę
10821	False	verb	zachować się
10822	False	verb	zachować w pamięci
10827	False	verb	zachowywać się
10829	False	verb	zachwycać się
10834	False	verb	zaciągnąć dług
10835	False	verb	zaciągnąć pożyczkę
10838	False	verb	zaciekawiać się
10839	False	verb	zaciekawić się
10860	False	verb	zadać pytanie
10863	False	verb	zadać cios
10867	False	verb	zadawać pytanie
10882	False	verb	zadręczać się
10887	False	subst	żądza sukcesu
10889	False	verb	zadziwiać się
10891	False	verb	zadziwić się
10896	False	verb	zadłużyć się
10906	False	verb	zaglądać do butelki
10907	False	verb	zaglądać do kieliszka
10911	False	verb	zagotować się
10931	False	verb	zainteresować się
10942	False	verb	zająć ... miejsce
10943	False	verb	zająć się
10944	False	verb	zająć stanowisko
10950	False	verb	zajmować ... miejsce
10951	False	verb	zajmować się
10952	False	verb	zajmować się
10972	False	verb	zakończyć życie
10989	True	subst	zakład gastronomiczny
10990	False	subst	zakład karny
10992	False	verb	zakładać się
11007	False	verb	zależeć ... na ...
11015	False	verb	zaliczać się
11017	False	verb	zamartwiać się
11022	False	subst	zamek błyskawiczny
11070	False	verb	zanosić modły
11079	False	verb	zapadać się
11104	False	verb	zapełniać się
11106	False	verb	zapełnić się
11113	False	verb	zapisać w pamięci
11131	False	verb	zapoznać się
11132	False	verb	zapoznać się
11135	False	verb	zapożyczać się
11142	False	verb	zaprezentować się
11150	False	verb	zaprzeć się
11155	False	verb	zapuścić oko
11156	False	verb	zapuścić spojrzenie
11157	False	verb	zapuścić wzrok
11158	False	verb	zapuścić żurawia
11159	False	verb	zapuszczać oko
11160	False	verb	zapuszczać spojrzenie
11161	False	verb	zapuszczać wzrok
11162	False	verb	zapuszczać żurawia
11220	False	verb	zasięgać opinii
11221	False	verb	zasięgnąć rady
11229	False	verb	zaśmiewać się
11232	False	verb	zasnąć na wieki
11233	False	verb	zasnąć snem wiecznym
11242	False	verb	zastanawiać się
11245	False	verb	zastanowić się
11254	False	verb	zastrzec się
11280	False	verb	zatroszczyć się
11291	False	verb	zatrzymać się
11294	False	verb	zatrzymywać się
11329	False	verb	zawieść się
11365	False	verb	zaznajomić się
11366	False	verb	zaznajomić się
11372	False	verb	załamać się
11383	False	verb	założyć się
11392	False	subst	zbieg okoliczności
11397	False	verb	zbierać się
11403	True	subst	zbiór praw
11404	True	subst	zbiór przepisów
11410	False	verb	zbliżać się
11413	False	verb	zbliżyć się
11424	False	verb	zdarzać się
11429	False	verb	zdarzyć się
11432	False	verb	zdawać relację
11437	False	verb	zdecydować się
11441	False	verb	zdematerializować się
11446	False	verb	zderzać się
11449	False	verb	zderzyć się
11468	False	verb	zdradzić się
11475	False	verb	zdumieć się
11478	False	verb	zdumiewać się
11482	False	verb	zdziwić się
11487	False	verb	zebrać się
11488	False	verb	zebrać się
11495	False	verb	żegnać się
11497	False	verb	zejść się
11514	False	verb	zerwać się
11521	False	subst	zespół wokalny
11534	False	verb	zetknąć się
11546	False	verb	zgadzać się
11547	False	verb	zgadzać się
11559	False	verb	zgodzić się
11560	False	verb	zgodzić się
11578	False	verb	zgromadzić się
11579	False	verb	zgromadzić się
11581	False	verb	zgrupować się
11589	False	verb	zgłaszać się
11592	False	verb	zgłosić się
11594	False	verb	zgłosić się
11613	False	verb	ziścić się
11614	False	verb	ziszczać się
11617	False	verb	zjawić się
11618	True	subst	zjawisko naturalne
11628	False	verb	zląc się
11633	False	verb	zlęknąć się
11653	False	verb	zmieniać się
11692	False	verb	znajdować się
11707	False	subst	znak dodawania
11719	False	verb	znęcać się
11733	False	verb	zniszczyć się
11750	False	verb	zobowiązywać się
11753	False	verb	zorientować się
11788	False	subst	zrządzenie losu
11789	False	verb	zrzec się
11799	False	verb	zsuwać się
11806	False	verb	zwać się
11822	False	subst	związek chemiczny
11823	False	subst	związek małżeński
11830	False	verb	zwiększać się
11841	False	verb	zwierzyć się
11854	False	verb	zwracać się
11858	False	verb	zwrócić się
11859	False	verb	zwrócić się z prośbą
11891	False	verb	życzyć sobie
11900	False	verb	żywić wiarę
11928	False	verb	złościć się
11940	False	verb	złożyć broń
11941	False	verb	złożyć podziękowanie
11942	False	verb	złożyć urząd
11943	False	verb	złożyć zeznania
11948	False	subst	zły duch
11954	False	verb	łączyć się
11969	False	verb	łakomić się
12009	False	verb	łowić uchem
12139	True	subst	stan fizyczny
12141	True	subst	roślina uprawna
12143	False	subst	figura geometryczna
12190	False	subst	granica państwa
12219	False	subst	dom wolnostojący
12220	False	subst	dom jednorodzinny
12233	False	subst	gabinet lekarski
12252	False	subst	szpital zakaźny
12255	False	subst	szpital psychiatryczny
12258	False	subst	placówka służby zdrowia
12262	False	subst	sala chorych
12265	False	subst	izba przyjęć
12267	False	subst	szkoła podstawowa
12268	False	subst	szkoła językowa
12269	False	subst	szkoła zawodowa
12271	False	subst	sala gimnastyczna
12279	False	subst	miasto stołeczne
12281	False	subst	cela śmierci
12287	True	subst	lokal usługowy
12288	False	subst	lokal użytkowy
12295	False	subst	bar mleczny
12305	False	subst	kostka brukowa
12347	False	subst	oberwanie chmury
12398	False	subst	faza księżyca
12407	False	subst	język ognia
12415	True	subst	drzewo liściaste
12416	True	subst	drzewo iglaste
12427	False	subst	klęska żywiołowa
12438	False	subst	trąba powietrzna
12451	False	subst	zmiana położenia
12473	False	subst	równia pochyła
12522	False	subst	kondycja fizyczna
12525	False	subst	sprawność fizyczna
12526	False	subst	sen na jawie
12533	False	subst	pogodzenie się
12541	False	subst	zanieczyszczenie środowiska
12546	False	subst	życie z dnia na dzień
12563	False	subst	więzy krwi
12647	False	subst	klatka schodowa
12651	False	subst	budka suflera
12654	False	subst	duży pokój
12655	False	subst	pokój dzienny
12656	True	subst	zakład usługowy
12663	False	subst	komplet wypoczynkowy
12664	False	subst	stan skupienia
12667	False	subst	punkt skupu
12668	False	subst	skup złomu
12669	False	subst	skup makulatury
12672	False	subst	sygnalizacja świetlna
12674	False	subst	skrzyżowanie równorzędne
12678	False	subst	oczyszczalnia ścieków
12679	False	subst	oczyszczalnia gazów
12690	False	subst	energia elektryczna
